1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,13,,,,,443,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
4.62586078420063,21.0509675326207,1052.54117647059,0.756494612524798,,6.47865321989071,3.75137108398296,2433.54117647059,0.387299910873963,,4.44330483168194,13.8116047332064,2967.02352941176,0.263745783634384,,4.22552306695489,7.42669761540251,2125.21176470588,0.592436021235037,,3.74866989099572,6.37322181569262,1357.84210526316,0.464262333892725,,5.63908660374886,13.3332928855118,3476.26506024096,0.590062822516853,,5.24647955492959,14.503405581665,3569.11904761905,0.68718061034899,,8.69021309327039,2.63716038595935,2088.42857142857,0.669174678746204,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
337.054934823091,834.16573556797,1074,0.971910962582815,0,513.823680164018,149.160430548437,1951,0.282845810073759,0,689.913945278023,336.918358340688,2266,0.272444088315047,0,826.962322695035,705.381205673759,2256,0.983649743040498,0,851.963656387665,7.73348017621145,908,0.0706780967477574,0,869.286011801458,489.980735855606,5762,0.38048872661746,0,,,,,,,,,,
341.628272251309,840.012216404887,1146,0.97076722422336,7.42271873431608,507.620858895706,161.444580777096,2445,0.348998866418762,13.7613712444258,689.765708718948,340.674135411593,2053,0.314460515178697,3.75870130281421,831.581880051042,707.430029774564,2351,0.79365976052751,5.0535126755036,860.613196814562,8.31399317406143,879,0.101902422801628,8.66899907354909,874.801854714065,470.964760432767,3235,0.542678166217142,19.7997940473778,868.436836323691,519.663859392164,2731,0.806173836635886,0,,,,,
341.734009360374,843.546801872075,1282,0.766244752031866,3.53616667609043,506.683227176221,165.474309978769,2355,0.333497229992508,4.13737485372013,683.673384030418,345.496197718631,2630,0.41631153161016,7.76973004701115,833.896214896215,708.641025641026,2457,0.556627503022065,2.61202158570101,865.696590909091,9.96136363636364,880,0.198642006279309,5.3436621300712,875.666564228642,472.906576521205,3254,0.587679415499332,2.12564631722125,869.736988202637,522.337959750173,2882,0.753497534973521,2.97341682799996,,,,,
341.022435897436,847.923717948718,1560,0.558185175739182,4.43438058077277,503.18872651357,169.685177453027,2395,0.359837588623185,5.47201423308053,687.892220113852,344.985578747628,2635,0.312344660629104,4.24962464606357,829.585473220836,709.046221570066,2726,0.840471829686578,4.32974335645381,866.305206463196,8.0754039497307,557,0.209721188620944,1.98173076685579,877.929519595449,472.467762326169,3164,0.54932835848857,2.30510843344212,869.623617552622,520.273992151266,2803,0.773484819469477,2.06707889390381,,,,,
344.875929102344,849.381360777587,1749,0.385559905113204,4.11996753589495,505.060945273632,171.019485903814,2412,0.341456647033157,2.2990393923049,696.700851536468,344.8059977786,2701,0.258693775885685,8.81046178494268,826.359045725646,706.11013916501,2515,0.921429750616909,4.36238630465024,,,,,,881.550365427391,476.165554496346,3147,0.470261981407654,5.17534457524441,870.755958733547,522.151903237282,2811,0.718902532861156,2.19288545004023,,,,,
349.121364653244,847.580536912752,1788,0.298766500622493,4.61158211560895,503.609004739337,172.63981042654,2532,0.356945551605762,2.17567986479563,700.436983842011,345.437342908438,2785,0.275372514995293,3.78910032560372,830.427198817443,703.249076127125,2706,0.693881814708079,4.97348482304373,,,,,,886.948865355522,474.860816944024,3305,0.440685940800075,5.55393027994279,870.107990638582,521.246071547977,2991,0.834565807494356,1.11372963570182,,,,,
349.412199630314,846.817621688232,1623,0.447441637692642,0.816470834562878,503.045546150746,170.446997178557,2481,0.433772973503917,2.26404848039693,704.186386315039,344.070563079116,2806,0.289447092004837,3.99075256143401,833.77796327212,701.274791318865,2995,0.543624445678297,3.88914167071056,,,,,,882.252708559047,476.286565547129,3692,0.514201433356125,4.90781496557646,875.122377622378,529.097202797203,2860,0.727071315935772,9.31581122156412,,,,,
349.80070754717,847.447523584906,1696,0.327005762199861,0.740077564105859,504.091554853986,167.791239147593,2534,0.536233064017899,2.854327403485,708.21174764322,343.361493836113,2758,0.267725163791168,4.08733568645695,835.286033163265,699.723214285714,3136,0.513097647803714,2.16371580536314,876.570652173913,7.72101449275362,552,0.196085169812722,10.2715611046667,882.072812846069,479.150332225914,3612,0.540264138299623,2.86941144802649,874.07047553883,531.735545672254,2923,0.820314427297436,2.84030827899148,,,,,
346.007084468665,845.914986376022,1835,0.439928749501557,4.09148461543956,508.691082802548,167.318926296633,2198,0.465159246421658,4.62371460827596,705.92125382263,346.548547400612,2616,0.263333445727769,3.92475124882356,834.25551948052,697.442207792208,3080,0.344484703062831,2.50298802908549,876.084639498433,8.84169278996865,638,0.266044074272799,1.22152698151798,884.570266479663,479.907433380084,3565,0.504310368390995,2.60968902545907,876.250253635441,530.249915454853,2957,0.999889810161555,2.63790251778255,,,,,
343.727501256913,845.247863247863,1989,0.448598767276636,2.37519533668811,511.130750605327,165.275221953188,2478,0.449690017670017,3.18256287154453,697.069358515142,344.780853142299,3071,0.273836230747804,9.02667123172245,835.921121063276,695.752094770298,3461,0.397719037418661,2.37291185241104,876.491496598639,8.60204081632653,588,0.286649092116458,0.472192512074543,885.338431590656,479.448832035595,3596,0.447519225983618,0.894646763205479,875.166886109282,528.424950625411,3038,0.872462215330286,2.1223057803798,,,,,
351.402419354839,843.108870967742,1240,0.9303716894977,7.96741211337068,506.275546719682,167.506958250497,2515,0.472297702593392,5.34356170282592,697.87972972973,347.246621621622,2960,0.287676657164547,2.59551838734659,832.209681594616,693.744499093968,3863,0.267287294046821,4.21962360041142,891.943293347873,9.7164667393675,917,0.192960985603369,15.4919323493742,884.948962882096,479.723799126638,3664,0.421815109802519,0.476752321550647,876.17024,529.24576,3125,0.833735214096179,1.29632058512949,,,,,
352.222323049002,845.382032667877,1102,0.81503769766752,2.41650702102466,509.403097846619,166.217604835663,2647,0.487032388912017,3.3828993895693,696.639182058047,351.025725593668,3032,0.43983250638191,3.97750994433074,842.062558648733,700.272130121989,3197,0.471659365080614,11.8190165869051,887.754535752401,10.2742796157951,937,0.229079508820243,4.22573607774251,883.89283564118,479.952438290187,3322,0.472223568708166,1.08059271518621,877.620097244733,526.759157212318,3085,0.639507160566956,2.87841613631757,,,,,
352.597978227061,845.370139968896,1286,0.715803051511296,0.375843383727121,509.09545804465,162.468822170901,2598,0.519724767557323,3.76138454766036,697.288415262977,356.412512891028,2909,0.724421578894421,5.42577009662086,847.92335645854,707.464486290056,3027,0.444707588373512,9.27787358265689,,,,,,887.538879359634,478.96397941681,3498,0.430373749706515,3.77765611738762,873.338601112087,524.732221246708,3417,0.567320698424118,4.73705378294845,,,,,
347.169635941131,843.193648334624,1291,0.542288398788438,5.8484199410838,514.458640458641,153.209254709255,2442,0.552023202241084,10.7006221867008,692.679321784003,355.805381496498,2713,0.392381273910794,4.64890860612945,849.876225490196,711.515318627451,3264,0.265874229978036,4.4969923371611,,,,,,885.336024498886,477.650890868597,3592,0.420875955498038,2.56452160703838,877.186116098145,526.318372232196,3342,0.583923768720043,4.16163988311209,,,,,
342.335725677831,836.5,1254,0.707289988586407,8.25661047048094,515.538742393509,152.335902636917,2465,0.499713759981165,1.38901549018135,694.959146117041,354.255060728745,2717,0.353237639667246,2.75700806535625,851.675347661188,711.157016434893,3955,0.360011524172953,1.83445388258964,,,,,,886.250920419145,479.324837156613,3531,0.39938731982726,1.90765057598804,877.232323232323,526.67217630854,3267,0.59037106821187,0.356808665374533,,,,,
338.736141906874,851.633407243163,1353,0.549120190775554,15.5556105026954,516.890464933018,149.33963750985,2538,0.588549972095724,3.28705925341971,690.608891752577,353.221649484536,3104,0.367296139726519,4.47131432972361,852.636728549925,710.515052684395,3986,0.555168353620353,1.15601499565525,,,,,,885.812464265294,478.466266437965,3498,0.387231083798792,0.964047445808191,876.985198889917,525.605612087573,3243,0.575776616991604,1.09481947281556,,,,,
349.767571884984,857.095047923323,1252,0.365978904040561,12.3094259119231,514.864400840925,149.618430273301,2854,0.830266521331117,2.04515552225782,685.603046014258,355.562864549579,3086,0.344125398503325,5.5262808050833,846.553092501368,713.152983032293,3654,0.302239435856835,6.63093538587551,853.566878980892,9.13216560509554,628,0.312420927743211,34.2067288693318,888.237264673311,477.110465116279,3612,0.361502924798912,2.77810263356167,875.828709288299,524.568757539204,3316,0.586471305508247,1.55323390161434,,,,,
341.004983388704,846.727574750831,1204,0.359711660394836,13.5745149871912,511.614938608458,155,2932,0.698249505850848,6.28651712186916,686.676196594924,354.691294571153,3113,0.36004429563737,1.38249281953924,846.570747217806,718.394011658718,3774,0.27248772105941,5.24105836182064,854.6925,10.30125,800,0.302314110799157,1.6228927879153,887.420735052112,477.990126165661,3646,0.37257657220599,1.20021839016723,876.877713237542,526.157749923571,3271,0.64131688854229,1.9040236561302,,,,,
344.895604395604,838.209576138148,1274,0.679212724664456,9.36446646558152,503.969955616251,158.932741550017,2929,0.708371155492418,8.59722170531656,689.220671319375,351.011631771353,3009,0.362467040114825,4.4737310987145,847.981833910035,723.139561707036,3468,0.82514866513493,4.95090001051103,857.625,9.45964566929134,1016,0.137874910738523,3.05087759496634,890.810810810811,482.029189189189,3700,0.489871939685022,5.27320052318803,869.418556701031,528.678350515464,3395,0.541488387142787,7.87352802624257,,,,,
341.57724137931,856.088965517241,1450,0.536802684611778,18.1847215452192,502.244890375325,161.447417316983,2691,0.790015183132744,3.04949902417016,686.929209394641,350.565663248429,3023,0.427747417912441,2.33445618419902,839.776418532015,720.734252993233,3842,0.916790983256436,8.55069304410739,857.514228987426,13.2336201191264,1511,0.290716434935879,3.77559973583465,889.780792764033,481.509177972865,3759,0.500023266250185,1.15384090835388,867.946239478686,528.311973934293,3683,0.488508719309077,1.5172177834592,,,,,
339.658937920718,850.397157816006,1337,0.715165572627343,6.00637686688817,497.247702909648,167.817381316998,2612,0.707074170642455,8.09619193995685,688.35248655914,350.628024193548,2976,0.433495239763751,1.42464268308221,846.238529648511,727.714247383955,3727,0.775067662537959,9.51205560204835,862.488397790055,14.1834254143646,1810,0.265655987066693,5.06403844534354,890.125,482.763286334056,3688,0.463700757292774,1.30048698682526,868.065743004618,528.584080412931,3681,0.540736445194578,0.297191905050187,,,,,
346.82917888563,859.589442815249,1364,0.719472852317477,11.6580641189788,493.893740902475,172.070596797671,2748,0.778327918179694,5.41653976913255,694.981705325057,348.226396602418,3061,0.327438029822398,7.05084083871363,845.352991210661,720.260277856535,3527,0.369684589408199,7.50638661678246,865.643636363636,14.89,2200,0.227680889549895,3.23338492933948,889.832868303571,484.034877232143,3584,0.493685036022115,1.3047161914204,867.740910392213,527.605782994561,3493,0.551841114052963,1.03081621294629,,,,,
343.755020080321,855.793574297189,1245,0.57660851217212,4.8845747170724,491.805585781647,168.939064200218,2757,0.761675309439257,3.76389269474475,694.832537408469,346.74052849411,3141,0.341297506258003,1.49333690191609,856.466449511401,718.417915309446,3070,0.311188368882074,11.2651344935249,865.668337129841,15.1366742596811,2195,0.26850540975616,0.247907882569898,898.888002201431,508.148871766648,3634,0.310734103004519,25.7581090594462,857.855154785572,500.915932973587,3521,0.270463709014482,28.4618386274725,,,,,
337.578039215686,847.846274509804,1275,0.970038152268297,10.0655186906902,495.395154884829,167.260127084988,2518,0.755579911420959,3.96280660434219,694.220509383378,347.324396782842,2984,0.331456464322172,0.845860793560443,857.390050697085,717.91825095057,3156,0.361497565433007,1.05009695825106,864.401170079398,14.8775595486837,2393,0.218242307774365,1.2933880961188,891.000845308538,484.052690898845,3549,0.542706485013283,25.3541550099193,866.930048145001,526.393939393939,3531,0.564566392843076,27.0459331626868,,,,,
343.042412818096,852.711592836946,1061,0.835414834107125,7.31646781521934,494.528515625,168.284375,2560,0.660383473554688,1.34169571739782,696.483093404754,346.731837964513,2987,0.360496782466663,2.3388912772861,859.311771561772,711.72872960373,3432,0.144047638927392,6.48098646694855,864.148962148962,14.6845746845747,2457,0.190381789386389,0.317572035843915,890.775755879059,483.129339305711,3572,0.501337094130072,0.950391190934167,868.149657924743,526.322690992018,3508,0.587138476609607,1.221689137882,,,,,
347.309491059147,857.67537826685,1454,0.448546012113484,6.54577134563814,497.690350877193,167.553070175439,2280,0.686945449199893,3.2453056725734,697.906332453826,346.629617414248,3032,0.378262808334827,1.42690519366195,865.48533007335,714.156784841076,3272,0.15814698253477,6.63387344855791,867.007523939808,15.4018467852257,2924,0.17252989916151,2.94717742568361,889.843356242841,484.010595647194,3492,0.466564862369954,1.28295823042834,869.369149249338,526.966735354725,3397,0.575118049043261,1.37911284233542,,,,,
342.478201634877,857.937329700272,1468,0.640927233458816,4.83838568683124,493.662890625,169.287109375,2560,0.596741069881823,4.38489772156776,700,346.959541711421,2793,0.354565225019277,2.11950320494411,870.541421143848,715.73691507799,2885,0.256425358193017,5.29725103037208,867.062944162437,16.85820642978,2955,0.240333141091192,1.45741374199728,890.956269028508,484.48104068641,3613,0.500871636513085,1.2082604865779,868.405241935484,526.754608294931,3472,0.588070903938927,0.986972744911163,,,,,
344.318664643399,846.486342943854,1318,0.386547395981283,11.597948171181,495.643958868895,168.095544130248,2334,0.612777259081726,2.31180862518235,707.477561955794,341.640321500335,2986,0.367158307262152,9.17649369077126,880.729847494553,716.135511982571,2295,0.338601376840729,10.1962204270062,872.387139986604,16.280977896852,2986,0.186236057484322,5.35539484569618,891.157293748216,484.007136739937,3503,0.473849447658912,0.514777513510676,869.978439113271,526.081992104464,3293,0.626229341818016,1.71095350605277,,,,,
347.07393715342,854.202711028959,1623,0.327079114256021,8.19352567758788,500.025526742301,164.623987034036,2468,0.592217360760943,5.59015614285832,715.781270252754,339.51782242385,3086,0.311796324650133,8.57068105874285,885.504714863044,716.31881454872,2227,0.375703912172564,4.77838447777466,877.654223347042,15.3267953179374,3161,0.134405284054413,5.35281528914517,890.662524710534,482.932787348207,3541,0.391118597917572,1.18280303354385,875.219512195122,527.582956940681,3321,0.632924518654062,5.45176508012456,,,,,
347.070059484468,851.252478519498,1513,0.184743143427016,2.95023505778726,509.642696629214,158.53670411985,2670,0.487619026774683,11.3817823696933,715.707754825601,340.438537080935,2953,0.3570775753869,0.923644952241211,887.33236574746,717.30152394775,2756,0.20560816625394,2.07509650817679,877.625790139065,15.4712389380531,3164,0.139647834225499,0.147215511098632,895.189501779359,483.474199288256,3372,0.42982763087374,4.55923768523878,877.382269099202,525.491448118586,3508,0.562351027923646,3.00864198253037,,,,,
