1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11,,,,,12,,,,,13,,,,,14,,,,,16,,,,,18,,,,,20,,,,,48,,,,,104,,,,,216,,,,,251,,,,,324,,,,,371,,,,,493,,,,,508,,,,,738,,,,,779,,,,,844,,,,,900,,,,,962,,,,,1013,,,,,1136,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
14.5291267901033,6.52701687549063,3750.57894736842,0.586861241949,,10.3135276240677,2.54149815481615,3416.41666666667,0.750560963687464,,6.52266935710383,3.28858699498362,3790.49056603774,0.76663088135185,,15.6051738970616,3.63264541891517,3077.55263157895,0.629230632053386,,10.4730348949644,7.64920112425332,3100.41772151899,0.36609509640876,,10.3173916410915,27.2231025803031,3730.63043478261,0.710742020100998,,10.3856930879632,6.07116959890126,3040.17073170732,0.675145676843139,,5.83384964991186,18.1164381642429,3815.75949367089,0.350603446307098,,8.58498738517104,1.60643413759209,3734.62352941176,0.420920689842535,,11.0190537330423,5.92530727192253,3946.71428571429,NaN,,16.3247502895738,8.92479069303518,3431.98630136986,0.647808510540501,,15.7421682361927,14.5601632327688,3699.66666666667,0.643905135939938,,23.0582703103379,21.5219104554113,2894.54385964912,0.675654616402413,,18.2981770009152,13.6042518291953,3036.59090909091,0.559138826710412,,9.60133295476815,12.8139797008523,2529.16666666667,0.18779757176991,,13.6749912882891,2.72162821178446,3074.83783783784,0.118318711567709,,14.4148627479553,12.6863482741168,3805.72,NaN,,23.7132520944443,17.4133738172299,2895.80952380952,NaN,,20.0891615735376,5.14960094470067,3645.775,0.483969063161609,,26.3928235638751,15.7345659210259,2563.15217391304,0.42732144613471,,12.1936328433145,6.61663575343205,2860.77777777778,0.718198527827753,,14.8412578777557,34.5737578137113,3330.42857142857,0.623717126980074,,8.34893633805048,2.62526756686153,2672.79310344828,0.277001226982444,,15.7736435621338,20.1215952234249,3585.79166666667,NaN,,9.65504255425867,11.7075646511848,3305.51851851852,0.49830595061439,,21.1442232684989,34.910621755289,3333.58139534884,0.582150250682628,,13.6794945615599,97.2283981464319,3396.58333333333,NaN,,12.5569123544457,5.39682218971067,3469,0.725979364240007,,8.21985485056613,6.23735631481045,3808.21621621622,0.424497552264892,,8.44449370585949,1.9908109417283,2229.33333333333,0.705134037482986,,10.8213417420523,7.93360827482654,3966.875,0.39638296436536,,6.73491882427502,5.66109699083087,3541.1724137931,0.701631622141797,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
215.033816425121,429.895491143317,6210,0.743273532682406,0,284.66620498615,400.235110803324,2888,0.47514881113561,0,270.03781882146,506.562005277045,3411,0.440489132271955,0,304.176105508146,596.973235065943,2578,0.715641975999252,0,305.93288590604,645.058724832215,1788,0.450728497020368,0,332.899613899614,530.248207391065,3626,0.825145955217742,0,367.110395189003,388.347079037801,2328,0.0894553996925863,0,493.817173051519,288.619815059445,3785,0.214260402615264,0,570.169038378612,15.8236308753773,2319,0.120371420447091,0,798.851955307263,15.7214684756584,2506,NaN,0,806.270085901971,916.091965639212,3958,0.763896308151733,0,835.206365770937,870.1651447952,3833,0.869787722741605,0,868.439299123905,963.735085523571,2397,0.660132544970857,0,943.398316589737,635.060005430356,3683,0.489737159718957,0,1002.33307593308,418.463577863578,3885,0.380678812045579,0,1011.46496815287,164.609453570231,2983,0.0639196806247955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.238650306748,451.708895705521,3260,0.328161145935336,21.9245504181948,278.628660006889,418.606613847744,2903,0.865202344882072,19.3381507256435,276.084057971014,517.245059288538,3795,0.459163429407619,12.2753676468802,,,,,,309.002426595487,621.640135889347,4121,0.338783947717791,23.6188989607722,334.835546969331,534.716976575706,4141,0.829179056584787,4.8700857154704,369.073565473271,378.62383521334,2039,0.35334616202632,9.91945099463412,496.065569196429,286.844587053571,3584,0.203966985265442,2.86473728241908,572.817394726486,17.1735537190083,2541,0.14566511120941,2.97255496653669,803.289578074288,16.8265416516408,2773,NaN,4.5731479909026,,,,,,828.566034651847,896.924812030075,6118,0.695748907869055,27.5712492987246,874.091379310345,970.406465517241,2320,0.879371784670312,8.74375900021782,968.213301378071,644.735769922109,5007,0.619507721242966,26.6346370079475,1003.10547894148,390.012299664555,5366,0.104590489942708,28.461760970917,1013.17101353582,175.026411356883,3029,0.032485973052669,10.5557377940906,220.284930504755,405.510607168983,2734,NaN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.97893481717,433.980325914149,5032,0.439377093599278,19.5582485620858,266.935393911225,431.790378805485,4303,0.627776711043197,17.6222623531991,280.35145631068,527.317891816921,3605,0.54412679023894,10.9394992451316,314.078617546525,585.714014432207,2633,0.939467928720978,14.994325391607,312.173365814048,640.660982541616,2463,0.438304850982668,19.283346776349,341.124886604173,531.443302086483,3307,0.956940995777372,7.09032705196196,365.552096305521,377.282689912827,2409,0.673421830400192,3.76821122238437,499.340757238307,294.147488245484,4041,0.241459555242043,8.00370055215087,576.325992659326,22.1765098431765,2997,0.235789854506647,6.1106324905597,805.393437296946,18.1384015594542,3078,NaN,2.47935476414584,,,,,,830.006073258683,898.817992028848,5269,0.656026136550012,2.37862180620019,867.491967154588,969.46447697251,2801,0.866310040884737,6.66630206486029,970.242636746143,644.778576437588,5704,0.979142323104902,2.02978679517744,1001.10079479769,397.247832369942,5536,0.0910177087784528,7.50810842004292,1012.28394689197,181.751056125528,3314,0.03619181541456,6.78290015370159,,,,,,965.981981981982,702.027027027027,111,NaN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.013709898547,428.815738963532,3647,0.482454344474135,5.52585444535681,266.54928057554,419.202517985612,2780,0.585054051099095,12.5937811450131,274.024312590449,551.830390738061,3455,0.918693431072187,25.3159110247951,314.801181102362,599.30905511811,2540,0.725910324424388,13.6142289294547,313.553837953092,648.057569296375,1876,0.440669906324838,7.52430720713594,334.361712598425,530.957923228346,4064,0.986782413848353,6.7805689486907,372.732928679818,377.240263024785,1977,0.194476999732716,7.18095770970556,500.414445203919,292.539302802461,4389,0.195805948252384,1.93366653450131,581.286523553965,27.3622540250447,3354,0.363970962748838,7.17626709901828,809.192511792453,19.0241745283019,3392,NaN,3.90096920966455,,,,,,831.54709942175,899.487036000746,5361,0.609141552825337,1.67999448558314,864.954335986594,977.012149141181,2387,0.659413359355333,7.96284667129242,969.684602799491,645.553899291038,5501,0.942792141948129,0.955263007081514,1004.1093541627,404.834254143646,5249,0.0758870969064867,8.16120241026538,1012.5101982189,174.271186440678,3481,0.0368443878238192,7.48329073104049,251.385714285714,466.558270676692,2660,NaN,68.5133269630106,963.771929824561,704.745614035088,228,NaN,3.50357615286379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.817661780479,408.921701823382,2797,0.475284506071285,27.3744647456653,275.061639908257,444.504013761468,3488,0.508489607080196,26.6950547837044,273.315265486726,551.27157079646,3616,0.669353741265297,0.902788747398017,,,,,,315.726157697121,627.673341677096,3995,0.310770422005892,20.4996514288628,335.94761436301,533.6517461879,4066,0.933073311604212,3.12598249264617,373.624103299857,390.485891917743,2091,0.156794980490917,13.2755744498442,504.323449468742,299.538176426983,4047,0.229010539897698,8.01651709624824,588.267350928641,29.621945259042,4092,0.375901029742629,7.33744882830731,812.366386554622,20.8591036414566,3570,NaN,3.66612136408986,,,,,,835.474967061924,907.465744400527,4554,0.636289625965181,8.89313959900889,873.721117833477,983.394122731201,3471,0.78044854346536,10.8437101978315,950.345497953615,638.130286493861,2932,0.418692840257947,20.7149946464435,1005.65367886916,394.783073577383,5518,0.0574747532636734,10.1691282603085,1010.70742213386,161.313452617628,3018,0.0677662271812502,13.0825405576216,216.034495279593,456.534132171387,2754,NaN,36.7449593548865,986.06561461794,675.644241417497,3612,NaN,36.6592180753269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.974144486692,410.943346007605,2630,0.548831010530017,2.19056308571977,276.185845970859,440.432352066607,3363,0.703565243781417,4.22401091719562,271.758733268038,548.179236043095,3063,0.809555348327091,3.46198306967024,,,,,,315.898522644708,627.003632840882,4129,0.442780673243449,0.691534236651213,337.251478529185,535.648238621754,3889,0.77600413282461,2.38454268199803,372.528679413072,398.74077367719,2249,0.27269589196799,8.32724602459841,505.677783109405,303.607965451056,4168,0.246809822306385,4.28921931249652,581.117886178862,22.5104529616725,3444,0.185984173970904,10.0840551815173,814.393405487038,23.7890762647873,3973,NaN,3.56280020852126,,,,,,842.049462365591,909.28752688172,4650,0.882509401909016,6.82223423130079,877.377967457989,972.646572419312,3749,0.694807325080309,11.352637882135,951.859649122807,639.687134502924,2736,0.442740623408791,2.17173421175071,1008.76723080697,414.533480500368,4077,0.0506021632539879,19.994318675387,1011.34387723144,172.729094895083,3193,0.0436418174519559,11.4333706184162,213.442685025818,457.654388984509,2905,NaN,2.82355373933708,990.10798376184,688.198376184032,3695,NaN,13.188898666374,1018.225,623.305,200,0.446765081833457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,278.472087031205,430.845977669625,3493,0.955078102380817,9.85522563238044,271.987959442332,547.499683143219,3156,0.85410099286497,0.717172770475178,,,,,,314.149582560297,629.816326530612,4312,0.382959922143728,3.31210464978265,336.534257120862,536.268154991019,3897,0.694264428015951,0.947999395273639,368.644831986389,394.387069332199,2351,0.998027437641864,5.83429621782689,505.708686683475,303.835663534265,4363,0.288419245669546,0.229785656618688,581.148232611174,22.6790193842645,3508,0.198460803362039,0.171276223626023,815.753283039955,22.6364906398435,3579,NaN,1.78261621830291,,,,,,846.284929835265,907.346349400041,4917,0.808436713025161,4.65911522738465,875.353714661407,975.063445101907,3042,0.659268945096399,3.15259780948062,953.12749227745,645.68548160629,3561,0.227076043324084,6.13087222483392,1010.64289529915,414.957532051282,3744,0.0388485307085997,1.92300208139644,1009.78449482228,164.584102994682,3573,0.0538302350413858,8.29292267874282,219.645652593021,437.465972623867,5187,NaN,21.1198712541157,1000.76952841596,717.260701330109,4135,NaN,30.9562154874927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,283.452666267226,428.999101258238,3338,0.909261728302165,5.3119791043655,274.011703110564,543.110563597167,3247,0.833213442192046,4.83320895723009,,,,,,316.145347409772,631.262705622391,4073,0.404530127068308,2.4647697278924,332.565239551478,533.246687054027,3924,0.584360183333362,4.98822302632425,364.864134690681,387.982380579483,2554,0.805025660490946,7.43731874138361,508.412966878083,309.283298097252,4257,0.297907628191296,6.08192845262039,586.126599888703,22.0792988313856,3594,0.158158743537875,5.01435992839728,817.570953962981,24.9126720455624,4214,NaN,2.91289021010953,,,,,,853.979613064281,909.469939671313,4807,0.985262871664955,7.98234211463893,877.009421702404,980.847628330084,3078,0.740624421145898,6.0164891276177,949.483085250338,644.141632837167,4434,0.529684875506329,3.95792516366665,1013.51400381922,428.688733290898,3142,0.0299864128633965,14.0281556741035,1009.58888621602,177.222997353861,4157,0.0301659147803301,12.6404079581839,220.734863195057,437.45119152692,5665,NaN,1.08931089061632,1003.18461134454,726.752888655462,3808,NaN,9.79460288993377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
