1,,,,,6,,,,,7,,,,,8,,,,,13,,,,,89,,,,,92,,,,,239,,,,,253,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
5.59873362760703,63.2098077406505,3826.71084337349,0.236869153318573,,6.49052271333471,3.41744043121396,2831.21052631579,0.659363181867698,,11.0670640170244,4.01787701525303,3704.36470588235,0.233459423326982,,2.13159905222592,10.6329737108663,770.205882352941,0.537034885630693,,9.21266058666427,15.4976789153847,2784,0.398595416016548,,2.98841782289103,2.4955381548889,3316.5,0.286405182456574,,9.58692389297274,6.41851503694988,2164.25373134328,0.617567979407807,,5.39758261176568,6.91907996515705,1598.17021276596,0.508507052584483,,11.9033292804497,10.3049748564131,3512.17948717949,0.290199978003437,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
35.4996501049685,330.11966410077,2858,0.394161274236893,0,262.342156229826,838.207230471272,1549,0.787634793570935,0,481.234805587014,355.583427708569,5298,0.0982140569221806,0,735.729001584786,1014.1616481775,631,0.738930158163935,0,,,,,,,,,,,,,,,,,,,,,,,,,
30.8461538461538,337.929093253116,2327,0.340342714135171,9.09077615587967,259.560712015257,836.335028607756,1573,0.862224315319141,3.35284531950216,482.796109097845,358.241655540721,5243,0.104178055016099,3.08283049494427,,,,,,168.2727784027,888.993813273341,1778,0.500999299785536,0,,,,,,,,,,,,,,,,,,,,
,,,,,264.618493150685,841.794520547945,1460,0.80307056306417,7.44225787371532,485.443781465598,359.537758717136,5363,0.10773002893659,2.94788948416916,,,,,,169.520643431635,888.902949061662,1865,0.471314047296714,1.25116882769863,,,,,,,,,,,,,,,,,,,,
,,,,,268.491935483871,840.096198156682,1736,0.885573095984941,4.22940355761707,485.701979472141,359.12719941349,5456,0.0893853331144625,0.485000157106474,738.757575757576,1010.5614973262,561,0.385701360113154,4.70460919441288,,,,,,,,,,,,,,,,,,,,,,,,,
42.0978786751023,336.910308894678,2687,0.658113627631638,11.2977534578948,270.950568181818,840.678977272727,1760,0.8975970077,2.52675804965844,485.709816612729,358.658755843222,5562,0.0698892331791009,0.468509124028467,740.411861614498,1009.58154859967,607,0.346064177730788,1.92274834625966,171.42501447597,889.773016792125,1727,0.519577604234372,2.09371605765743,,,,,,,,,,,,,,,,,,,,
39.4774061032864,335.758215962441,3408,0.824231483497566,2.86255037058731,268.264212236058,839.017866811045,1847,0.849326859264106,3.15844839014811,486.315696959044,360.048163121814,5689,0.0593581045946405,1.51576501472196,740.220779220779,1010.32096474954,539,0.313338936589556,0.763707223922373,173.557587740979,890.979733069698,2023,0.453394301677072,2.45031281782367,,,,,,,,,,,,,,,,,,,,
35.3944076526858,331.891341672799,4077,0.898683020036326,5.62348585127648,266.389033942559,837.268929503916,1915,0.719801832418075,2.56419097117949,485.944286728176,360.464336408801,5636,0.0504030463710396,0.557804414104486,744.807799442897,1011.84401114206,718,0.9486461997305,4.83326233841076,,,,,,,,,,,,,,,,,,,,,,,,,
30.9177038354077,325.668275336551,3937,0.748953071880312,7.6659918923108,269.789201608271,840.070649052269,1741,0.847467898392974,4.40576583383364,485.401465201465,360.733516483516,5460,0.0437821739057114,0.605898607429233,742.694029850746,1010.93582089552,670,0.641720392642682,2.30061544213916,174.271218889598,893.997447351627,1567,0.544276666370885,3.10094645288129,,,,,,,,,,,,,,,,,,,,
28.6738230729436,322.78815312985,3866,0.553758009401007,3.65104160503363,271.911298838437,844.245512143611,1894,0.956912511628054,4.68324444010066,485.750371195249,355.182999257609,5388,0.0412332632189588,5.56147254489209,743.853099730458,1010.99191374663,742,0.766143380769557,1.16042638456776,174.288242009132,892.840182648402,1752,0.398780609826423,1.15738989970112,,,,,,,,,,,,,,,,,,,,
34.6752229127263,328.157795190489,3701,0.859119394783477,8.05294082285024,274.444444444444,849.356589147287,1935,0.723501619030608,5.70437856376429,486.149007795889,358.20942593905,5644,0.0384489901928334,3.05256770563856,744.070071258907,1009.83016627078,842,0.74664404418725,1.18183494693391,176.162314388121,889.36866359447,1953,0.423667651681938,3.94507184009355,,,,,,,,,,,,,,,,,,,,
34.2079426365141,325.710700496415,3626,0.873536558076927,2.49130955489346,273.949275362319,845.549609810479,1794,0.875631678996377,3.83904728946805,486.935734463277,356.498057909605,5664,0.0394861701251838,1.88353905756894,745.83152173913,1011.66304347826,736,0.896235856732621,2.54207526481159,160.458708708709,932.594219219219,2664,0.11039585966209,45.989693306248,,,,,,,,,,,,,,,,,,,,
28.5929038281979,320.126672891379,3213,0.645293283127692,7.91896616438666,278.066037735849,851.123689727463,1908,0.793066008510258,6.9295093160366,493.373009220453,311.160379994412,3579,0.125896784220347,45.792396148718,744.138242894057,1009.53746770026,774,0.549912044663259,2.71758452218225,175.985444743935,887.513746630728,1855,0.312214382652008,47.6794351970463,478.627633711507,428.572123176661,2468,0.0741229700722263,0,,,,,,,,,,,,,,,
30.980823463057,319.722786238015,3546,0.738910493192915,2.42183496781074,278.224119530416,848.059231590181,1874,0.7996934043921,3.0685327974338,491.262271275051,303.534417659018,3443,0.111056933103912,7.91268072242275,744.513784461153,1010.55764411028,798,0.796402235342421,1.08710228413553,163.024618991794,921.576006252442,2559,0.115379898793159,36.4447600446822,476.900157853197,429.954617205998,2534,0.0810489192871582,2.21256922653273,25.5024539877301,69.1386503067485,1630,0.345894633021637,0,,,,,,,,,,
