1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,10,,,,,11,,,,,13,,,,,14,,,,,15,,,,,16,,,,,17,,,,,18,,,,,19,,,,,22,,,,,23,,,,,25,,,,,26,,,,,27,,,,,28,,,,,29,,,,,77,,,,,169,,,,,200,,,,,285,,,,,295,,,,,344,,,,,363,,,,,406,,,,,419,,,,,480,,,,,527,,,,,546,,,,,560,,,,,655,,,,,787,,,,,937,,,,,963,,,,,986,,,,,1009,,,,,1120,,,,,1149,,,,,1163,,,,,1487,,,,,1528,,,,,1665,,,,,1681,,,,,1758,,,,,2047,,,,,2135,,,,,2292,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
9.49895591531758,2.49236735050423,3071.78571428571,0.505988365135631,,8.20661877417117,2.92288823864827,3748.68965517241,0.47420885777408,,14.5775724245345,4.80034641055197,3597.89333333333,0.575248296443813,,18.446633926567,10.9500344229528,3043.48387096774,0.628815491468952,,10.2228034943638,4.71452300681943,3059.3,0.31395963705502,,10.4758252106627,9.29520074448481,2205.65217391304,0.728714745815697,,11.3396696535127,4.41506933180733,3867.52941176471,0.54291748060788,,18.6096772059838,9.53848727270706,3293.675,NaN,,13.4426940593164,8.63029242903132,2075.53333333333,NaN,,13.6370733648448,21.8457357729119,4534.11666666667,0.703127640981088,,14.0166523529639,5.84524713347224,3561.81333333333,NaN,,20.5834252890708,34.6244947552127,3071.96,0.556703706817678,,20.884679216132,6.96740843649591,4159.46153846154,0.744805713648595,,23.8827416219674,11.8837519644619,2473.68253968254,NaN,,17.9185173456313,18.3208532942747,2662.01470588235,NaN,,17.4420044880768,14.1652077746113,4274.28985507246,0.722963819676385,,21.9915650792153,7.36287924114225,3278.3064516129,0.676725720079845,,24.9810566329882,4.94753610172723,1955.5,0.619019976121531,,18.2584145418111,14.5131941788236,3017.34285714286,0.576727934078726,,15.0417565879499,7.4088625415899,2842.15384615385,0.237036628118676,,16.9576884246564,4.07262362642888,2801.22807017544,0.609724635473211,,9.76636241335801,1.35387701564336,3874.44444444444,0.554779740840494,,7.13258242898915,3.84667650116458,3656.19047619048,0.647829372485843,,7.44299713282274,4.47221783986359,3242.81176470588,0.735618225865828,,22.6412034873129,3.28582376978514,2887.19230769231,0.604607962188114,,11.7487862484232,4.42063708551634,3367.15384615385,0.498698184244888,,11.7186882989969,4.37052409518496,3414.68888888889,0.742780058717353,,18.2703546496284,6.23403489894229,3573.11594202899,NaN,,9.704478507304,1.940656670373,2675.76923076923,0.178568123089939,,22.716731634548,2.61690529837122,3283.93548387097,0.433677135508943,,15.155754181381,32.2333672212428,3099.16129032258,0.497728309577031,,11.2350173739262,18.8905580916592,1843.87878787879,0.323621053548405,,19.1177505168898,8.65974154441008,3171.64444444444,NaN,,30.6650704341395,19.0624802191692,1998.11538461538,NaN,,17.7584098697466,4.86569564971822,3296.04411764706,0.548677231004,,22.3957027151058,3.50460762581025,3037.16326530612,NaN,,10.8857557615148,3.62862097244218,3838.07246376812,0.453775329355879,,14.7172765499532,8.44490610074183,3685.53846153846,0.709414939521391,,6.81142305172021,5.88554070855651,2595.5,0.592223115695415,,9.57690642510622,13.9121092020679,3731.27118644068,0.663806911208414,,17.9989695465826,19.1581536915307,3511.50943396226,0.491406880780091,,9.58138539493303,3.24045146015045,1138.02325581395,NaN,,14.8781304060587,9.22598974661756,2892.51851851852,0.543423859198034,,18.5000026577586,5.00728672169105,3442.30555555556,0.727003859035275,,10.1700598435827,7.89963138770774,3690.27450980392,0.679662779257382,,19.7736088039913,4.07742254442346,2802.45454545455,0.417440830084569,,8.89182204429868,16.9021438300399,2891.95652173913,0.241960631760192,,12.7552268288003,5.48176141454198,4011.07894736842,0.637953308621342,,14.3235281727109,6.82808430863763,3206.48717948718,NaN,,8.97194383364177,4.74740942229504,3087.87804878049,0.0485095502443239,,11.7565463685118,7.60048143772366,2118.66666666667,0.374053507942722,,19.8631169799322,5.16491587438045,3124,NaN,,9.16039131779572,2.17697617057719,1874.47619047619,0.318008271035587,,16.2070621265144,3.8254509145586,3678.45454545455,0.567333596860589,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
28.250742721331,778.910873440285,1683,0.492266731457377,0,55.8566473988439,971.707514450867,2595,0.555900559193043,0,203.110524463217,373.54065469905,2841,0.695457258439627,0,239.458064516129,424.1841191067,2015,0.995106971219159,0,244.112375533428,530.356330014225,2812,0.276525629862861,0,298.334193918531,217.931440045898,3486,0.683105707099003,0,315.434696755994,695.164456981664,3545,0.62399534342752,0,330.559552916521,440.58435207824,2863,NaN,0,446.314049586777,809.217975206612,1936,NaN,0,485.092045108199,319.463273392258,3281,0.68477798739792,0,512.356369896704,33.7700442695524,4066,NaN,0,524.603015075377,283.506479767257,3781,0.859815495253937,0,534.923059149723,361.87084103512,4328,0.995481627167294,0,562.269821757837,216.60417947142,3254,NaN,0,580.142500890631,45.2069825436409,2807,NaN,0,595.590076590077,344.193806193806,3003,0.671360998982185,0,603.217726909768,178.720787862656,3757,0.727944408193876,0,632.207826086957,45.2186956521739,2300,0.776086323997417,0,663.327652733119,181.170096463023,3110,0.223658353492093,0,694.543103448276,302.879310344828,116,0.0975662170521462,0,762.370530630836,133.528808927351,4391,0.133257855562424,0,788.017605633803,499.096830985916,3976,0.870681356493217,0,884.881344188464,311.844101853456,5773,0.990906586864081,0,905.473253833049,502.238500851789,2935,0.796593793146818,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.1821862348178,779.679005205321,1729,0.476715913208452,1.20731662262797,57.5101088646967,973.443234836703,2572,0.548037181203389,2.39721923838148,216.742775935576,393.698957839886,4222,0.499709368023544,24.3350665855568,,,,,,246.211694258542,525.163437830222,2839,0.192569188359028,5.60118454831569,302.16911295469,222.391512444161,3134,0.778802986955454,5.88207869818514,319.017168589924,697.010413734872,3553,0.554242104098725,4.03009438792837,325.751728679618,439.216990451103,3037,NaN,4.99848494169162,449.738255033557,812.377387712958,1937,NaN,4.65908470914827,488.18648018648,319.605727605728,3003,0.648802833733821,3.09771232631988,513.458708094849,37.9945489234124,3669,NaN,4.36595797890599,526.298503325942,287.766075388027,3608,0.865500586258963,4.58463032973017,532.47610708031,365.577182887165,3997,0.928982670144279,4.44123230131275,556.904530252356,219.543630282761,3289,NaN,6.11773847194128,583.896506692785,48.7541625857003,3063,NaN,5.16478903861453,592.16331392271,351.753573319217,3778,0.844619494221733,8.30016755065152,604.743112244898,183.641836734694,3920,0.750140425394568,5.15204060752723,638.832998795664,53.8807707747892,2491,0.831451649682284,10.9052491420434,669.122200895713,184.41298784389,3126,0.231585033189052,6.64026602755725,696.647058823529,301.823529411765,17,0.402116402116402,2.35399694130589,764.019895783989,135.563003315964,4222,0.125094363374892,2.61884558901398,791.118487782388,501.734209313047,4338,0.976603092047402,4.07077812461459,889.6495251747,317.258376635012,5581,0.991223278032948,7.21456314184702,907.101732399558,503.637301879838,2713,0.761725700650662,2.14676192383975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.6378169790518,781.35170893054,1814,0.467290536977836,2.2173855361487,63.7495284798189,975.094304036213,2651,0.29169952730488,6.45417590673989,220.260521042084,398.222945891784,3992,0.405217037685836,5.73070663427074,,,,,,247.922162576687,525.537960122699,2608,0.13322191768063,1.75099080949663,305.113331149689,225.027513920734,3053,0.8254124396776,3.95182547239293,321.745419211549,699.604664075514,3602,0.488508600459687,3.7647690877818,326.083118556701,441.998711340206,3104,NaN,2.80139078950182,451.576670317634,814.2426067908,1826,NaN,2.61893355491726,,,,,,513.795750332005,38.4116865869854,3765,NaN,0.536284719154588,508.716645017628,300.003340137317,5389,0.607763332959362,21.4213069189964,521.376984126984,362.100140056022,4284,0.833421567750626,11.6310084336078,551.097730138714,228.076292559899,3172,NaN,10.3211071642291,580.985367594575,45.3012134189864,2802,NaN,4.51636898371184,586.842411545624,354.372672253259,4296,0.907262662286139,5.93057175429049,600.514653519584,190.418789372775,3651,0.994390281935738,7.98792527822306,643.409029649596,57.4750673854447,2968,0.898056346207109,5.81885096058502,677.824904580153,193.040553435115,2096,0.222282906999404,12.2544661022027,,,,,,764.04599145514,137.473737119879,3979,0.143449854635753,1.91091199522051,792.286003031834,504.127842344619,3958,0.948959937745891,2.66318811718531,891.017260374587,317.825376423063,5446,0.991941902819378,1.48060404452368,906.934989043097,506.901753104456,2738,0.82671576145173,3.26870695303716,647.897333741955,144.222494636837,3263,0.839398460301946,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.4183783783784,782.354054054054,1850,0.427075397778781,1.02608432699141,58.2372231686542,976.330068143101,2348,0.43617022806774,5.64912584134638,223.883146067416,400.279775280899,3560,0.387128891473124,4.16580835013889,,,,,,244.324988620847,521.626763768776,2197,0.0614768313556855,5.31386087393374,305.788342440801,224.795628415301,2745,0.875345417665066,0.713730432838297,323.82678919521,700.621832358675,3591,0.448922886248252,2.31662088507251,329.77504976775,444.179163901792,3014,NaN,4.2877417646642,453.099330357143,814.898995535714,1792,NaN,1.6581133195193,,,,,,505.833982852689,40.3682774746687,2566,NaN,8.19865777407892,508.34680693983,302.77703949797,5418,0.83980759376703,2.79824737060116,540.056820187048,357.987647785424,5667,0.818080600536837,19.1271761613309,553.102067183463,227.270025839793,3096,NaN,2.16042426687505,600.754050073638,55.9208394698085,2716,NaN,22.4405272758304,616.6,302.6,5,1,59.7153553356536,604.397544338336,185.660572987722,3665,0.931088620119716,6.1414545734161,653.484931506849,57.4639269406393,2190,0.540181224209043,10.0759080159813,671.550433705081,168.997026022305,4035,0.325464626687571,24.848746350926,616.537037037037,292.907407407407,54,0.161157910859243,80.6046699777926,731.440702781845,140.399707174231,2732,0.678914254695157,32.7363124103471,795.571284125379,504.366026289181,3956,0.995729356540946,3.29390398388459,890.759273721203,317.966028894963,5122,0.924753984495664,0.293837082710747,906.848945147679,507.401687763713,2370,0.735023750713399,0.507285142168969,665.508196721311,112.639344262295,61,0.186708220342413,36.1612760070577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8078581696215,783.287014853857,2087,0.34866475284691,3.51553539439082,55.5113495666529,974.859265373504,2423,0.380216908793702,3.09736140628446,229.143600416233,403.313215400624,3844,0.346151238093649,6.07240799979311,,,,,,244.865359477124,523.16688453159,2295,0.0608707981439336,1.63216807540383,311.304748405386,230.512756909993,2822,0.968777398605837,7.94457632545186,325.022968705139,700.145851277634,3483,0.430939132699292,1.28740180576313,330.493362148811,445.141092929917,3239,NaN,1.20053326981587,450.21002979146,813.404667328699,2014,NaN,3.25285636773864,,,,,,515.3964709126,42.2401433691756,3627,NaN,9.74397556559731,512.664666302964,303.044735406438,5499,0.643981164663067,4.32614962515334,528.286005434783,364.592391304348,4416,0.838558648561791,13.4972114484032,554.49201694363,229.576735092864,3069,NaN,2.69311490916967,588.84700729927,53.3106569343066,3425,NaN,12.1897793457986,596.432041484716,355.921397379913,3664,0.887432433263623,57.0080517928895,606.263199369582,186.922248489624,3807,0.831264847336478,2.25221974232485,652.035780842341,58.2638837122624,2683,0.845072742107955,1.65528501621675,674.712226640159,189.278330019881,2012,0.528656940283851,20.5262813584536,,,,,,726.912533593941,144.765941851942,4093,0.650319633588924,6.29033555981941,793.357250376317,507.059207225289,3986,0.834121949911728,3.4864263934004,887.507007273372,315.757672520844,5637,0.985016523020501,3.93116711967234,898.409176382099,501.850695750282,2659,0.982800409039108,10.1016438835294,662.228882833787,144.393538341767,2569,0.718290703115478,31.9230753720517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.921362489487,783.859125315391,2378,0.310495048187358,5.14540929465088,55.6109540636042,971.160424028269,2830,0.431050437307193,3.70018220538331,230.57585958163,405.49194517913,4159,0.329050125059685,2.60734151284588,,,,,,245.528755364807,524.437339055794,2330,0.0488493803681539,1.43323019849002,317.162905500705,233.940409026798,2836,0.974159193963963,6.78725302219363,327.869275362319,697.952463768116,3450,0.49599023176044,3.59338424797789,330.559864573715,445.295475530933,3249,NaN,0.168096876873209,456.365039632874,815.067584480601,2397,NaN,6.37569130385089,,,,,,515.815923056372,42.7761154154422,3743,NaN,0.680592488420167,510.946389093589,308.12324981577,5428,0.585507720301548,5.36132308055175,532.3557908968,366.843848580442,4438,0.724249378335805,4.65104435293054,541.844053398058,238.372572815534,3296,NaN,15.4057697988011,592.320810018652,53.4132693844924,3753,NaN,3.47531792043784,601.561757719715,348.469418052257,3368,0.751800277046587,9.04687706070027,598.040226781857,196.127429805616,3704,0.912546641662114,12.3431212113772,659.320654396728,57.2306748466258,2445,0.77002135955909,7.35777841902321,711.319720382634,175.129874908021,2718,0.899673389290739,39.2464951321475,,,,,,700.697328244275,123.821755725191,2620,0.648819266747561,33.5543726515215,792.720377998546,511.279864308214,4127,0.660792053785963,4.26843679081915,906.45979222778,336.671027318199,2599,0.438076695863242,28.2236862654059,891.115596330275,497.814678899083,2725,0.914200686794088,8.33581081812202,650.516224188791,169.338938053097,3390,0.858881419767581,27.5582898470179,864.649639423077,293.336538461538,3328,0.769253752622109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.9405864197531,785.621527777778,2592,0.361283866666492,5.31964954687645,61.1906272022551,972.353770260747,2838,0.258134833241817,5.70585905580854,235.028514056225,404.952610441767,4980,0.33754256385742,4.48519941909545,,,,,,247.134656883902,522.149762624083,2317,0.06342039407773,2.79498222175939,320.761232825845,236.673598217601,2693,0.996775004643382,4.51865939096628,330.492718446602,698.404530744337,3708,0.58127122203112,2.66210784294366,333.431726907631,447.199464524766,2988,NaN,3.44568822640711,448.996208930076,811.464616680708,2374,NaN,8.20250223368298,,,,,,510.618780658725,59.5066573230554,1427,NaN,17.5191701180114,523.019456916827,275.707504810776,4677,0.569020714266792,34.5910319431685,512.990270088911,349.601744673712,5961,0.973507501429574,25.9290096858949,,,,,,602.593343419062,60.6030257186082,3305,NaN,12.5386418166604,590.381630012937,353.57546356188,4638,0.981550952626781,12.2909298381457,580.005908040072,210.952478808117,3893,0.646288724426708,23.3456362176508,668.993255901087,54.5616335706257,2669,0.595832729809715,10.0340919467139,662.333333333333,114.880952380952,42,0.0572735556092753,77.6504911885082,,,,,,707.941986644407,144.852462437396,4792,0.870085930109009,22.2435541258448,808.478569226025,503.983657107616,3243,0.915692240788014,17.365345671073,903.535872152329,335.155049302958,2941,0.389577942164076,3.29355399990926,891.074033552152,497.018234865062,2742,0.724571224688124,0.797527782495626,657.086230876217,185.866203059805,3595,0.821008527227719,17.785260090164,863.335455861071,292.685383502171,3455,0.665838655289806,1.46665647503284,834.653284671533,449.302919708029,274,0.208715639450719,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.852103960396,789.106435643564,3232,0.296436087438655,3.60214478608521,49.8035996210925,971.832017682349,3167,0.255539894208026,11.3989746419238,223.287513894035,381.386439422008,2699,0.247645127616418,26.328985953528,256.073003575685,431.840882002384,3356,0.745606307062077,18.2943220151361,247.30041532072,527.154130133826,2167,0.076487672986026,5.00711194521798,323.696704067321,238.92286115007,2852,0.922259098576367,3.69813130498548,331.340939961967,697.700896495518,3681,0.583491193523689,1.10208025807521,352.367794486216,452.741541353383,3192,NaN,19.7304148693087,436.943576388889,806.417100694444,2304,NaN,13.0668806072628,541.865832235397,368.085419411506,4554,0.762588790408237,72.3308603154621,498.685474189676,76.812725090036,833,NaN,21.021507672847,528.23557821304,253.053394150792,3727,0.890672973441501,23.2468632544615,509.206271635105,318.055996742008,4911,0.589818830103285,31.7718878392371,,,,,,595.38926746167,66.6488500851789,4696,NaN,9.40482337267965,574.912205567452,329.286937901499,467,0.194737470633003,28.796450674164,592.106555236354,203.302951162183,3829,0.589724732283915,14.315758302472,668.180665610143,51.9342313787639,2524,0.791230997473114,2.75019004047657,,,,,,622.550103305785,337.928202479339,1936,0.0758925052540933,45.4205785394814,690.337325995468,123.121398510845,3089,0.618817214682764,27.9671810510848,792.364052815953,529.467798437079,3711,0.357144391604862,30.1516019214655,901.355194606191,333.378179589335,3263,0.460423833703494,2.81293806178241,896.689655172414,500.96500257334,1943,0.514146606799116,6.86383140272713,705.760180995475,175.614536199095,3536,0.435575885290619,49.7418344417957,856.627037661608,291.665823496346,3558,0.744813667033992,6.78545336321509,833.538260110562,476.023858015711,3437,0.659423845813209,26.7441923380484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
