1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,9,,,,,10,,,,,11,,,,,13,,,,,14,,,,,15,,,,,16,,,,,17,,,,,18,,,,,19,,,,,20,,,,,21,,,,,23,,,,,24,,,,,37,,,,,94,,,,,110,,,,,144,,,,,348,,,,,374,,,,,388,,,,,577,,,,,729,,,,,731,,,,,811,,,,,860,,,,,1220,,,,,1284,,,,,1417,,,,,1499,,,,,1506,,,,,1554,,,,,1595,,,,,1618,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
12.1402654040898,15.437881574274,2940.18421052632,0.65832277409776,,9.54356539428654,22.3972333463921,3478.83783783784,0.675678121518184,,10.1361165969015,13.7043904290082,3027.72941176471,0.644262511955079,,22.1310327495165,7.34481645644762,3435.29310344828,0.655526221211588,,12.0284910045989,3.37648174702102,2967.18666666667,0.538735280793865,,9.43992441725635,41.5791251343125,3201.86206896552,0.455267951128543,,20.9354453907591,5.16209346607311,3049.80263157895,0.549577724195383,,18.0642770160688,6.13486886017023,3483.11538461538,0.629281330206427,,26.4509435296374,6.00053179212957,1718.45833333333,0.349168666257134,,13.8403972991818,14.3712733314099,3197.35211267606,0.445514772411284,,9.13785469919801,12.589551685383,3966.91666666667,0.230004241561726,,13.5281936527755,8.53030791414172,2964.39622641509,NaN,,13.0661690519035,3.9885531912098,3619.47222222222,0.585504094813177,,18.699563792107,15.5061343120093,3363.88888888889,NaN,,19.413525761434,5.25216032489822,3303.59574468085,NaN,,15.2546777566753,3.66795450936639,2240.5,0.347401110206193,,20.1977375587573,23.2419141753404,3035.18644067797,0.370296804688063,,4.30523673673409,9.94990842583218,2974.65882352941,0.127583568633054,,3.17797416411736,2.17805670512635,1751.41791044776,0.734310462463203,,9.88199720942719,3.85295693949617,3757.88,0.572484081285167,,20.057228543845,4.14571638618877,2825.46808510638,0.457699506757754,,14.7776454918394,3.93719308686239,3831.52380952381,0.386256340584605,,24.7410446976679,9.15028092334146,2903.62790697674,0.58671752904072,,20.1357623061793,9.051759317406,3440.98571428571,NaN,,17.8921226334267,7.19469689647788,2879.4,0.482209816823043,,7.3842483701541,7.07739635238307,4117.53731343284,0.656226260905149,,26.2546420575268,8.66423214945277,2619.88095238095,0.500504858348425,,29.0158421065579,20.2827306790973,2726.075,NaN,,13.0488475210403,8.03922479921209,3351.98412698413,0.283776238387637,,19.1057979094508,2.72871629320043,3379.47826086957,0.557598596955904,,28.4928195265473,4.78008417200015,2649.375,0.556961408036195,,14.5446619754902,14.8402544241395,2697.61224489796,0.418134201800163,,19.1242541674073,8.5560478581993,2596.39285714286,NaN,,21.6722566983373,18.3790005375459,3191.61290322581,0.623293446115936,,18.6230492225444,3.86814136837857,2491.86666666667,0.558458914895952,,14.8964784947553,3.99868555987448,2805,0.497745868938333,,19.7779618976473,6.9589921375251,1608.17857142857,0.504662374054725,,14.4424321736463,2.38470886894809,3644.79310344828,0.541782009484677,,21.5935966566228,9.32204831343538,1933.57142857143,0.213096652730794,,10.3143343992899,1.49927124061885,1840.73076923077,0.396838748021263,,12.9917537395831,6.70692219342241,4474.34615384615,0.669265528750038,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
202.171422747656,113.600693028944,4906,0.910457652994691,0,278.394145321485,216.815473078934,1913,0.560348436256302,0,289.968363136176,302.569463548831,2181,0.661532880331103,0,508.51314368023,86.4151962549514,2777,0.785732876866612,0,529.926532325777,292.998320738875,2382,0.43757831051475,0,604.914613180516,12.5684813753582,1745,0.132561605774926,0,591.056466302368,63.9153005464481,1098,0.242161419898927,0,655.886627906977,84.6345930232558,3440,0.4003561896856,0,647.699444444444,231.792222222222,1800,0.294736593136648,0,683.579498977505,29.2816973415133,3912,0.90587922637898,0,706.313081554461,561.159003831418,3654,0.201876618923267,0,718.520396270396,292.116258741259,3432,NaN,0,734.407082630691,105.221247892074,2965,0.643259083975629,0,747.918095725621,34.7832096237522,3907,NaN,0,743,348,1,NaN,0,785.528609321713,306.84577491474,2639,0.34654890934456,0,807.551993067591,217.192374350087,3462,0.197940563886457,0,949.879659211928,1010.19302449414,3756,0.0569016071593322,0,925.268123138034,55.4975173783515,1007,0.984959044196999,0,1002.44872298625,738.071512770137,2545,0.817709113798109,0,1008.23309723117,246.118480360592,1553,0.63783534071574,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203.271672642902,115.99915629614,4741,0.994724432480457,2.63878302936748,277.301305483029,214.963968668407,1915,0.585168373831307,2.14996918459651,293.576802507837,305.009404388715,1914,0.498803368364361,4.3559322769169,509.579413769598,85.313224267212,2934,0.901427422520876,1.5333865022367,532.114078768674,293.688094160254,2209,0.46615015057904,2.29371899165342,604.776223776224,11.8321678321678,1287,0.232697449380181,0.749205753518876,599.932291666667,66.3552083333333,960,0.278559933044959,9.20507609452688,655.579520089286,83.1160714285714,3584,0.460170322680365,1.54926532434241,652.985757884028,230.596642929807,1966,0.35924112201938,5.41982653098593,689.51913564176,30.5883884405103,3841,0.974513758423088,6.0816712613852,713.553663952628,578.733530717987,2702,0.281807218636356,19.0076308032164,717.883514596451,291.046937607327,3494,NaN,1.2446147814005,733.06636024131,108.824762999138,3481,0.579865413348473,3.8448481962526,752.624258064516,32.6634838709677,3875,NaN,5.16151152542115,753.534299105241,371.265019173413,4694,NaN,25.5388444291817,782.942006269593,304.713166144201,638,0.620670427962293,3.35239250646778,806.738928819847,233.893345699049,4313,0.128940130085722,16.7207511036387,949.504146919431,1010.90906398104,3376,0.0583015359628055,0.808530783962961,926.527582748245,55.7943831494483,997,0.998386031313657,1.29397364571378,1002.64597315436,741.466862416107,2384,0.877866643629247,3.40107436660963,1008.84168336673,247.610554442218,1497,0.621769117021339,1.61141619374503,669,625,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.526023451965,119.062332853322,4861,0.856641755830117,4.46921131844485,269.718031278749,208.286108555658,2174,0.748755656362573,10.1044477010249,294.156477846326,307.068424004487,1783,0.511821222918501,2.13906177474774,507.274555042848,89.4297956493078,3034,0.95824393713828,4.71789504908349,535.269374416433,297.773576097105,2142,0.44030725771096,5.16207838773442,595.808497905446,12.0263315380012,1671,0.142969142858871,8.96982758129067,613.624026696329,77.2875417130145,1798,0.427396567694031,17.5208310661047,670.25782021732,87.1662825156404,3037,0.892343544186798,15.2268415798701,655.876122931442,232.002836879433,2115,0.381052970063843,3.21427931755705,689.012893627573,29.6007934540045,4033,0.709036162510902,1.1097859407561,712.63007518797,576.212781954887,2660,0.230216047861979,2.68462111532886,718.015083355385,298.738555173326,3779,NaN,7.69274275664527,740.458654613135,107.580962509971,3761,0.832009302208795,7.49620275449954,758.736585365854,30.982028241335,3895,NaN,6.33938783110012,752.283901292597,373.473560517039,4255,NaN,2.53794199231762,797.660886319846,288.765317919075,2595,0.385491572611677,21.7020573436111,809.711531190926,212.489981096408,2645,0.270681339814453,21.6088033257313,948.935365036839,1011.89115874079,2986,0.0543372724046166,1.13491098641684,929.201729106628,58.1440922190202,1041,0.948062209452008,3.55980216552603,1004.22666047376,743.619600557362,2153,0.825374639926423,2.67074032929224,1011.28626842514,250.182311869666,1289,0.444452742312636,3.54822947022891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209.617717478053,118.863328012769,5012,0.697295754859598,3.09809213509089,272.498898193037,213.80784486558,2269,0.76884937693516,6.18245846498692,294.363636363636,305.763872491145,1694,0.521639438618171,1.32089715809216,510.109311740891,88.488321395204,3211,0.944402942944743,2.98700842118662,534.759030418251,297.141159695817,2104,0.465057184848793,0.812650909738484,609.303043110735,15.0853761622992,2366,0.163879686399305,13.8369253922629,594.53781512605,67.2829131652661,357,0.226743480851827,21.5493866382286,650.491963109354,86.0129117259552,3795,0.336964910470403,19.7994790686776,656.90625,235.59423828125,2048,0.364128789573272,3.73621811546803,683.110222868217,31.2916666666667,4128,0.967605095313656,6.14007934107116,712.384643916914,573.923961424332,2696,0.227501141258098,2.30194177378612,718.103949160236,289.268951429868,4406,NaN,9.47002070691422,734.64109263658,113.989311163895,4210,0.463334896523939,8.65511177405123,747.589365951073,39.2940589116326,4006,NaN,13.9050478080883,748.046811120196,366.157195421096,4892,NaN,8.45471060097207,803.195355191257,286.101775956284,2928,0.329670248038488,6.14205189461673,802.158247829519,200.318863456985,2534,0.337580481698483,14.3243915797635,949.587266739846,1012.80717160629,2733,0.0482020555112032,1.12430218364614,929.483902439024,59.5931707317073,1025,0.943623011376405,1.47629615099652,1003.07472527473,743.985934065934,2275,0.868692904056599,1.20878242139447,,,,,,,,,,,781.5,82,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.68057319064,114.880827135861,5513,0.685265618520154,7.2538632897398,269.454423592493,208.268990169794,2238,0.870108198107491,6.32042221171763,296.845323741007,308.425659472422,1668,0.566658446193332,3.63921449940733,512.176655251142,90.4043949771689,3504,0.887590275978782,2.8187314808049,535.655662540119,295.583677212288,2181,0.508383755838321,1.7971368474513,606.819363514119,14.2321828776333,2231,0.161457728519463,2.62613844258952,591.627071823204,65.7845303867403,362,0.176725882561898,3.27377114747583,649.999009655855,83.4104976479327,4039,0.439388740739816,2.64869064649055,658.686676427526,235.333821376281,2049,0.356923206282812,1.79937078675444,696.411191084281,31.0496865567681,4307,0.883636504582916,13.3031691659672,712.71063996859,573.087161366313,2547,0.213217054755161,0.898057772534281,718.542264344262,281.394211065574,3904,NaN,7.88692944089135,732.736635038186,115.263364961814,4321,0.684563240584569,2.29132534225771,768.35735260899,32,4427,NaN,22.0116461272159,749.3089066918,340.743873704053,4244,NaN,25.444641988556,809.803844900619,268.518409905507,3069,0.200771669586591,18.7842193852814,783.57721796276,186.150054764513,2739,0.381545037210246,23.3668528191806,950.352087756546,1012.60368011323,2826,0.0472723029357062,0.791429071574622,930.725470763132,60.0882061446977,1009,0.958527380448548,1.33661960315624,1003.91501746217,742.041521148622,2577,0.612472999897526,2.11821447291842,,,,,,,,,,,,,,,,643,40,1,NaN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.773834644159,117.939190485325,5213,0.715249667949355,3.60405858193033,265.497388059702,205.977985074627,2680,0.733151399443825,4.57239921199589,299.718944099379,313.574534161491,1932,0.860938671986166,5.89649086557249,518.094929881338,87.6822006472492,4635,0.83093068434606,6.5143162778813,532.704902867715,292.607308048104,2162,0.506648983156635,4.19115211437072,603.345397324941,15.3957513768686,2542,0.148179257919715,3.66365019290406,589.226765799257,63.860594795539,538,0.224001636934046,3.07619849289536,650.843307673206,84.9413955798361,4027,0.534421158523562,1.74828133319792,658.758756783424,235.808090774544,2027,0.362416379288075,0.479715582230477,700.566483748417,34.1654706627269,4738,0.852185344237537,5.19370462382726,716.645448079659,573.547652916074,2812,0.312100537702761,3.96166219386871,717.362869198312,280.918893577121,4266,NaN,1.27157368057041,734.808431952663,112.804240631164,4056,0.816361868883713,3.21553027173364,773.350981287084,28.388635326335,4382,NaN,6.16265220346492,749.5685693106,337.521126760563,4047,NaN,3.23319076724097,808.451238390093,269.488003095975,2584,0.162001142683845,1.66422814761706,783.863430420712,186.699029126214,3090,0.516333512617757,0.619104531474162,950.446217904233,1012.07251908397,2882,0.0552635587532346,0.539437228705254,931.236363636364,61.4323232323232,990,0.995618072499075,1.4379368112563,1003.13837920489,741.79625382263,2616,0.660968605151516,0.814446464697658,,,,,,750.25,646.25,8,0.478260869565217,83.9828851612041,,,,,,,,,,,744.466751918159,709.69820971867,2346,0.507922332437383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215.402310567448,123.542133876996,5886,0.652224444889685,5.83480149473863,276.376465661642,216.346314907873,2388,0.893817763435746,15.0285259756241,299.263855421687,309.675301204819,1660,0.654175775752957,3.92570036489747,519.213654223969,86.1210707269155,4072,0.57537162926932,1.92059125868988,534.110965487112,294.871559633028,2289,0.469175484982467,2.66530435963633,609.821512447158,14.2733677782997,2129,0.167036226436568,6.57265638981285,602.833126293996,70.7614906832298,2415,0.205180107034248,15.2563236058216,675.771800101989,87.2233554309026,3922,0.772499753299489,25.0327200985783,660.82171314741,233.98406374502,2008,0.384443660524151,2.75369997714821,681.714501967908,26.3796548592189,3303,0.800888410340068,20.3964738319838,715.476069615664,570.394488759971,2758,0.209837422165412,3.36301801770202,725.767506036564,262.908244222146,2899,NaN,19.8751455484179,741.862475442043,113.357844513051,3563,0.716596782054203,7.07573365864706,788.710514337733,17.3905325443787,2197,NaN,18.891096324366,780.711754429748,314.548540054904,4007,NaN,38.6993245330526,,,,,,805.491575817641,199.341674925669,4036,0.394459624791086,25.0522088072329,949.239708676377,1011.02501583281,3158,0.0648391167471506,1.59778833958073,931.403437815976,61.4357937310415,989,0.996716877253971,0.16711022067607,1002.42635658915,742.007399577167,2838,0.699961730869463,0.742670004101656,1016.71180555556,264.001736111111,576,0.191190406645931,14.8463106366057,,,,,,,,,,,739.812218989685,42.0854271356784,3781,NaN,96.8346774252127,723.820392317123,688.253371475276,4894,0.694759334656242,29.7683263227985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.461956521739,124.88134057971,5520,0.7864059328533,2.3576361923107,275.046867291564,211.617661568821,2027,0.906058336222894,4.9120254708866,299.963855421687,306.601656626506,1328,0.872458027878093,3.15234690251475,523.792046211953,88.6827371695179,4501,0.323598731724962,5.24631376861832,530.516427969671,291.830244313395,2374,0.420150808574823,4.70853468052646,607.056535504297,13.2985074626866,2211,0.115406366792583,2.93179981061354,584.92789968652,61.0815047021944,319,0.173962031076594,20.3543427419824,638.662529706892,82.6192236598891,3787,0.42917866220516,37.3937959910633,661.603503184713,233.980360934183,1884,0.398718636110027,0.781798806109593,694.95232936078,36.453954496208,4615,0.960241421038206,16.6352513434367,713.81214953271,564.488473520249,3210,0.254163843485854,6.13593074066844,731.309414088216,258.363396971692,3038,NaN,7.16717387698369,752.165406976744,88.1377906976744,3440,0.459768938638107,27.2433755738751,778.236486486486,22.6795874822191,2812,NaN,11.7336849098732,773.717656311443,327.453598112466,5086,NaN,14.6784853427563,802.438596491228,247.912280701754,114,0.0214330038390928,22.3978494377578,802.113114754098,184.490163934426,2440,0.764136311172546,15.2309348984519,948.831953388531,1010.76203618522,3261,0.0669318332355337,0.485203740516533,932.026014568158,61.2507804370447,961,0.967716555666426,0.649485743733891,1001.66984463277,745.471398305085,2832,0.606396984084178,3.54564486760312,1013.33109619687,269.950782997763,894,0.306872576963774,6.84254007131117,,,,,,,,,,,712.836562763269,114.609660207807,3561,NaN,77.3786172760034,726.506036636137,687.338051623647,4804,0.717091079168775,2.83733957062513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
