1,,,,,2,,,,,3,,,,,4,,,,,6,,,,,7,,,,,8,,,,,10,,,,,11,,,,,12,,,,,13,,,,,14,,,,,15,,,,,16,,,,,17,,,,,18,,,,,19,,,,,20,,,,,21,,,,,22,,,,,23,,,,,24,,,,,40,,,,,87,,,,,274,,,,,358,,,,,367,,,,,376,,,,,747,,,,,818,,,,,863,,,,,918,,,,,1009,,,,,1089,,,,,1151,,,,,1234,,,,,1288,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
5.69427416201903,16.5911105216068,4610.475,0.654375631205076,,7.38138341544037,28.7577488009364,3745.21686746988,0.593422205653749,,5.43079081713703,27.1468685275649,3177.44705882353,0.698936471656058,,12.9635319000851,10.5202585181222,2820.37647058824,0.39266381497662,,10.1650910427549,26.4979141738847,3838.58441558442,0.737567570506881,,12.0809966172033,8.76111961900005,4052.33333333333,NaN,,4.14649339066712,95.1620341400345,2713.50588235294,0.647782458327119,,4.0745284231166,10.0752036846439,3836.04705882353,0.447356679365407,,10.9886314864604,11.5021157133304,3393.325,0.519990597809413,,13.0975664863464,2.84447597362683,3396.42857142857,0.374803606838467,,7.2065836317482,5.72084760249415,2951.42352941176,0.290586748025486,,18.6951811497037,8.82814633558274,3257.8,0.461371434690837,,15.773103157652,3.06967213693339,3210.328125,0.574162386129952,,13.9597432001279,11.5922274585815,3631.98823529412,0.55376912261661,,18.8767064823779,5.90280731056021,3571.32352941176,0.740543344624439,,5.75498808199057,11.8943132572585,2470.06097560976,0.559948443717717,,20.7182378301454,9.56088914954062,2742.81481481481,0.590918441424899,,19.0914382078633,5.31042498828518,2674.94444444444,NaN,,18.5469996457515,11.6963794519805,3109,0.583051826369544,,15.1261946223603,5.12562818954544,3189.67857142857,0.617248381429487,,11.8073434298372,13.0356851445775,4025.78787878788,0.660439014810153,,3.06503555867674,2.11801273798743,904.590909090909,0.445631638358512,,13.8609057086693,9.11525908162158,3289.69620253165,0.621487292518874,,14.8148128207495,6.87220220772723,2958.24324324324,0.50769005316214,,20.9177927654844,6.87564276320327,3596.38461538462,0.612883716139629,,12.1518915464506,18.8115219404651,3951.57746478873,0.546352655790796,,5.04844000530533,12.8918451326742,2827.88732394366,0.60528452539269,,15.8064719641799,14.5667469019601,3643.66666666667,0.612646376370257,,17.097405088957,19.6474154828381,3964.17073170732,0.567026706968429,,11.4276962467725,5.86641268385284,3834.58,0.709610699862913,,16.7562035452489,3.72411710336025,3577.16,0.648896683396232,,15.35107895476,3.8592600615522,2296.95348837209,0.44702316941671,,17.3659934418478,90.3877935804919,3290.87096774194,0.570493223514158,,15.1476561879895,5.20260180001254,3352.23684210526,NaN,,7.50129088287014,20.7273632164016,3309.39473684211,0.708752390244161,,24.7588352938861,11.4984994162972,2314.04166666667,0.435381059107181,,31.0670813872989,3.02061279370341,1653.66666666667,0.610180266499865,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
248.406700507614,457.650152284264,4925,0.864915943782034,0,338.862982153138,768.813183649971,3474,0.906130757670402,0,348.018125,707.4109375,3200,0.567592912286968,0,389.525556223692,448.760072158749,1663,0.650415730918735,0,527.223702342673,319.658015617823,4354,0.699792371915417,0,511.746666666667,395.766666666667,150,NaN,0,552.859230220955,439.963292943692,2806,0.894803847556677,0,644.286016202888,178.486438886932,2839,0.531779637831447,0,685.034195162636,794.032110091743,2398,0.360713815933207,0,740.153212121212,1006.56096969697,4125,0.0930944513450441,0,717.910690717114,363.929608446986,2273,0.498577470353664,0,751.300059417707,697.671420083185,5049,0.879601112813382,0,751.678080648795,787.133363370128,4439,0.64472198784421,0,829.765228426396,504.667875271936,5516,0.217840289856277,0,849.984688669615,602.958149030282,2939,0.87135811365143,0,874.916507633588,247.07108778626,2096,0.210789183106696,0,890.360185453492,560.771370617212,3451,0.52450068942663,0,900.596199524941,670.911718131433,2526,NaN,0,933.077795786062,632.452728254997,1851,0.27234513422271,0,956.634452463131,695.915594603075,3187,0.625112691962904,0,995.001438331535,454.070478245236,2781,0.64053332319483,0,1011.22025565388,169.623402163225,1017,0.656663023859726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.588864306785,460.115781710914,5424,0.876735308058725,3.29259279534759,341.349523241955,770.500297973778,3356,0.893474653147207,3.00486960249045,348.595483870968,711.107096774194,3100,0.603069315947841,3.74098070645813,389.892058596762,443.175019275251,1297,0.725102860450506,5.59706527574431,528.280971659919,321.303441295547,4940,0.965284993493569,1.95582311830651,,,,,,557.062579415502,438.141359593393,3148,0.665696482880003,4.58122097090185,645.353224610823,181.047442550037,2698,0.420346514008707,2.77446815595413,683.582622187742,794.820015515904,2578,0.334363059531035,1.65162315885372,743.196507688298,1006.27078446703,3837,0.10922783485361,3.05709917672289,732.788404064555,375.095636580992,1673,0.536312047895955,18.6017885897573,724.774320771253,682.121822962314,2282,0.473160163442526,30.747435362341,754.19838150289,791.250867052023,4325,0.970754606122134,4.8276032319951,859.888983411314,513.099957464909,4702,0.550802148113554,31.2816339806673,851.768897768898,604.482184482184,3003,0.831514185197973,2.34650509665253,876.223062381853,249.896975425331,2116,0.20981087994944,3.11331435272266,902.229367631297,576.426580921758,2799,0.613419958554971,19.6459434807665,913.239499086877,663.87659796504,3833,NaN,14.4687919180714,,,,,,957.855373180551,697.36141220192,3229,0.658730159467392,1.89236252535165,995.382217847769,458.635826771654,3048,0.774591227970738,4.58120073863291,1012.15520446097,170.150557620818,1076,0.404641671323227,1.07332294689656,792.12319391635,514.154372623574,2630,0.609002176061888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.127928949358,460.96768707483,5292,0.755992375596443,1.00813364091282,344.850812407681,771.938847858198,3385,0.759127562550775,3.78529412225731,349.706425041186,711.240527182867,3035,0.513551644973083,1.1189253583885,391.754565376187,447.54127100073,1369,0.960487916406394,4.74690274112085,531.806473065839,317.461538461538,4511,0.972555990702374,5.21434344372367,,,,,,561.713925469319,435.340711683945,3569,0.64345820917376,5.4294243548515,646.033177205308,181.38056206089,2562,0.416277613865605,0.757168501232319,686.917002417405,799.228041901692,2482,0.469823392216288,5.52709581369577,729.42202921437,1013.42795104619,2533,0.045979022828485,15.522927902639,731.845033112583,376.276158940397,1510,0.465543306627893,1.51115247214829,,,,,,751.655633354551,794.427753023552,4713,0.581949846261929,4.0691734568555,863.358593928327,510.855968956859,4381,0.473159307835746,4.13203116687441,853.564924568965,596.741379310345,3712,0.70783051483449,7.94643171335036,880.434882650713,251.056603773585,2173,0.190457979757186,4.36854299317992,909.814963259853,576.307615230461,2994,0.768223412483321,7.58652844690346,915.736220472441,662.562710911136,3556,NaN,2.82133246313666,,,,,,958.401973859696,703.036543078154,3749,0.738816752538472,5.70139305475662,997.690400508582,463.560712015257,3146,0.911162950966975,5.43895227579233,1012.66315789474,169.387134502924,855,0.570104558131303,0.916968673300175,798.654268808115,516.460270498732,2366,0.469182423728788,6.92618973552578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.372389791183,462.143851508121,5172,0.787109731328546,1.71232168735192,345.22410441544,777.720355456818,3601,0.953404386966204,5.79354615377771,350.527541706012,715.173434057287,3177,0.469766009053577,4.01770942952772,393.690476190476,461.754901960784,2142,0.563933172951694,14.3448616497157,532.737309895319,320.031206794391,5063,0.79752011603288,2.73306650924923,,,,,,569.975192678227,424.19725433526,4152,0.509703648729971,13.8717402505577,644.901975978303,182.237117396358,2581,0.634906487720932,1.41890917915745,694.240552325581,804.767078488372,2752,0.439202789215517,9.18233682491137,746.62012012012,1001.08533533534,3996,0.293099801195082,21.1687149678074,693.261053621825,358.691674506115,4252,0.287120160857258,42.4020938888959,724.739393939394,693.231235431235,2145,0.745326466252658,11.1094673719407,757.85537093377,794.369997659724,4273,0.84493698045141,6.200006591386,866.002498864153,517.548159927306,4402,0.559613076407631,7.1955300912866,850.769814902705,600.116753678215,4214,0.879813020864703,4.38244111993516,875.694881889764,253.124015748031,2032,0.225984041066183,5.17124738200442,909.690318302387,584.624336870027,3016,0.912647074826174,8.31765563097209,920.579323191555,661.475007761565,3221,NaN,4.96374275013143,,,,,,953.295746785361,708.995548961424,4044,0.645687049197158,7.84750317308111,997.845775729647,461.098003072197,3255,0.976839661029799,2.467605478506,1014.96774193548,173.007680491551,651,0.402774280800444,4.29178993621923,801.744583333333,520.657916666667,2400,0.495729642104567,5.21251160343576,770.257142857143,593.657142857143,35,0.280033722073908,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.645640432099,466.116898148148,5184,0.831815756603491,3.98243211073267,348.729077657703,780.034933400352,3979,0.994232065791725,4.20025100269899,347.888480392157,715.621629901961,3264,0.474404256608808,2.67684966583291,393.406212182332,464.179104477612,2479,0.372581278508729,2.44081213306551,532.829571303587,329.419772528434,5715,0.810907715294958,9.38901904939524,555.333333333333,381.333333333333,3,NaN,45.9142529311131,566.016844919786,433.833689839572,3740,0.475266721763057,10.4177447754071,646.278229082047,187.30909829407,2462,0.606090703517374,5.25538417552127,689.094604316547,805.277338129496,2780,0.47784342709097,5.17118417899102,739.90763968073,1002.14281641961,3508,0.32362240917504,6.79526746293342,658.504381694255,344.361246348588,3081,0.450515858630395,37.5950450812172,721.12367073651,686.585269791256,2539,0.320643577214466,7.56586502441399,757.189854715587,798.533858655504,4061,0.85708892156003,4.21671083059296,866.1129288798,523.397636900704,4401,0.512307347849747,5.85051926333694,858.667707082833,610.608643457383,4165,0.817931062800977,13.1322675889248,874.800451467269,256.423476297968,2215,0.200669247050664,3.41854438339988,922.060223409422,553.733851384167,2059,0.593066260944448,33.275165603031,920.721129441624,682.736675126904,3152,NaN,21.2621402536733,921.24224137931,609.330172413793,2320,0.771919852910018,25.9756219703162,961.82820855615,709.745989304813,2992,0.709909095899423,8.56539926558918,996.8181558664,458.997145304025,3503,0.889092568204762,2.33871886840316,1015.69473684211,175.749122807018,570,0.427664558352642,2.83619949285686,803.191602119853,526.958418263351,2453,0.651783774077054,6.46453275483716,775.706371191136,597.930747922438,361,0.104662982790257,6.92515629355071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.173035042566,463.367847950901,5051,0.785667242247976,2.7991823917236,349.892875851231,776.211367207962,3818,0.823967468694113,3.99675927006411,349.229881154499,714.806791171477,2945,0.443523551019451,1.56949614905825,392.25056740808,466.827507943713,2203,0.200283779336165,2.88955978714956,525.330144777663,314.552998965874,3868,0.849499752028886,16.6511967851615,,,,,,555.96463654224,449.934381139489,2545,0.680080825614668,18.9810208787841,646.349386213409,184.565627950897,2118,0.644599464642912,2.74439298592826,691.609635577517,801.182211241507,3238,0.679477736417837,4.80577220354765,731.614134275618,1007.03427561837,2830,0.283685178227061,9.62853078084947,694.707363291825,352.950460205739,3694,0.509435492708732,37.2079355949483,691.2460496614,672.574266365688,2215,0.549547851302858,32.9997039092655,759.585095248064,788.230479380364,4777,0.955707037865896,10.5781284590322,864.810072267389,522.56278229449,4428,0.470209152583233,1.54739056673492,860.415141242938,611.604519774011,4425,0.641155307492784,2.01129206778184,873.998732037194,254.409129332206,2366,0.253181781657676,2.16802853833504,935.089310829817,562.597749648383,1422,0.123834245801805,15.7583568764849,887.8,668.85,20,NaN,35.7301064900786,935.289421157685,630.132235528942,2004,0.295398103305932,25.1007786646672,943.115430196729,702.241763451055,4219,0.332086619788322,20.1613858549707,995.108597285068,457.841025641026,3315,0.835967004152211,2.06378371400238,1016.4973070018,172.086175942549,557,0.290126261417652,3.74983980899747,801.315381301163,525.990090478242,2321,0.675600976577153,2.11136525970741,777.95010845987,595.603036876356,461,0.0482799483755216,3.23304742389565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.595414201183,463.383690828402,5408,0.914285800746891,1.57770038851855,352.672280139,775.114407912323,3741,0.850209890141625,2.98804415816769,350.845703839123,714.810968921389,2735,0.409580444468032,1.61582808545272,396.638797364086,467.292833607908,2428,0.396024163451285,4.41283243739717,526.40117581187,312.368141097424,3572,0.744581181732325,2.43325119573795,,,,,,557.731376975169,450.504514672686,2658,0.648480418415571,1.85645468649901,647.068705882353,183.399058823529,2125,0.481907066431248,1.37051242791052,689.128400796284,804.748175182482,3014,0.733268163625906,4.34426344366131,736.238657844991,1004.58175803403,2116,0.79053309870164,5.23460225281873,691.898416565164,351.296954933009,4105,0.662651604346776,3.25948790458903,681.819397993311,671.99187768753,2093,0.363071327525101,9.44462483341312,756.560970182466,793.478638184246,4494,0.895615400537191,6.05710353577823,869.033402922756,513.752192066806,4790,0.417529172743407,9.77051799981523,862.400582176444,611.216077026422,4466,0.477276960918423,2.02308266479591,870.922731356694,254.011680143756,2226,0.279737337539763,3.1015715442073,942.78417266187,564.630395683453,1112,0.163505988079726,7.95880320891777,904,607,1,NaN,63.9363941742104,937.516750803121,626.906379072969,2179,0.379244700402483,3.92009530802255,938.830710538865,701.117548879351,4194,0.441605889507499,4.42974953577708,993.243132220796,456.55378690629,3895,0.841386994749305,2.26648261988098,1017.2027833002,172.236580516899,503,0.262198147855467,0.721330952887962,807.501836884644,532.993019838354,2722,0.636272890001117,9.3441560511956,774.544510385757,596.362017804154,674,0.0302578714273713,3.48914750206486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.98298596342,468.206933219906,4702,0.753194058092117,5.38183668342232,354.797389033943,782.141253263708,3830,0.787970009164599,7.34116090326581,352.590365682138,722.740506329114,2844,0.478963573096152,8.11919998811312,391.97901459854,481.567062043796,2192,0.237138014217382,15.0155643537625,521.971278567017,313.657504632489,3238,0.79023230719354,4.61372386749727,,,,,,557.214978657354,452.945673263485,2577,0.790335156341874,2.49517985084679,645.217119764879,178.952975753123,2722,0.430463494365123,4.8162252666772,694.714239165852,811.636689475399,3069,0.905939070668433,8.86866503227323,729.856230031949,1006.80191693291,3130,0.161788948369414,6.75755061579039,690.271762208068,354.807501769285,4239,0.491869149904355,3.86910112133984,651.163277164439,669.545031958164,1721,0.0687527957842467,30.7536143940464,755.408214777421,792.637448370812,4358,0.749035378603122,1.42704075838212,862.377506775068,521.241463414634,3690,0.678782383807002,10.0194879534939,851.850802644004,587.654705697199,3177,0.647217601698139,25.8154230470206,873.486445012788,255.538618925831,1955,0.354452444318109,2.98398554866642,,,,,,865.859019264448,643.447898423818,2284,NaN,52.7558879271562,942.22244732577,604.032414910859,2468,0.0852534817387591,23.3529830268593,945.541613316261,700.431071276142,4686,0.611352009875628,6.74592229330969,994.266898954704,457.567015098722,4305,0.869553895152859,1.44039220193535,1017.02395209581,175.518962075848,501,0.295445292648344,3.28724950349022,802.330040413112,533.469241131567,2227,0.737048922678937,5.19367552539236,767.831460674157,598.486891385768,534,0.0318984467405841,7.04131551403881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
