1,,,,,2,,,,,3,,,,,4,,,,,100,,,,,271,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.56394004954572,8.80916399304404,1393.47368421053,0.641162956001751,,2.05041039729789,5.2502969484229,1346.91764705882,0.639206445609859,,1.97768690123964,5.80685325490012,1342.42352941176,0.674808573702466,,4.05920432942329,22.4107587071085,4499.37647058823,0.375563128643911,,7.92097968657407,8.155759576172,2254.58333333333,0.294187188693362,,2.82362039459359,9.37982853148156,1048.95833333333,0.376891098433291,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
217.026629292221,106.645409950946,1427,0.369289375004165,0,353.356052899288,920.161749745677,983,0.800484522178598,0,379.130397236615,795.845423143351,1158,0.623505599397515,0,727.671700223714,200.457867263236,5364,0.726205494066061,0,,,,,,,,,,
217.754926108374,107.235837438424,1624,0.457711776918067,0.937561128880453,355.097222222222,922.588675213675,936,0.733157990581026,2.98691108644838,380.333333333333,799.534979423868,1215,0.688380517847999,3.88070622437416,728.530120481928,206.004077849861,5395,0.781191532862267,5.61224885504012,,,,,,,,,,
218.560597014925,110.388059701493,1675,0.521409934408828,3.2535535657877,356.523613963039,923.562628336756,974,0.723005522934333,1.72718791225174,382.931781701445,800.309791332263,1246,0.568175063987946,2.71150648443458,728.86985495884,207.078596628773,5102,0.919267229973506,1.12694725743369,,,,,,,,,,
218.643761301989,110.050632911392,1659,0.528559562806077,0.347524297452866,359.534195933457,921.948243992606,1082,0.590848606823076,3.41611484163483,380.58147229115,800.934656741108,1209,0.572911126953918,2.43195622972368,732.593480934809,202.537720377204,4878,0.731971910811252,5.8723885720362,,,,,,,,,,
218.392569659443,111.865015479876,1615,0.616438937796603,1.83168811376362,360.684060721063,923.962998102467,1054,0.566033370272318,2.31978946307121,382.04208600183,801.720951509607,1093,0.547744287812431,1.65881037939674,735.680157514767,204.673375628965,4571,0.630742948222697,3.75347780913048,,,,,,,,,,
219.161231884058,110.030797101449,1656,0.637779895786141,1.988768130102,360.99512195122,924.194146341463,1025,0.567050722885585,0.387541736201364,383.107258064516,801.035483870968,1240,0.454828145997683,1.26667178335534,735.517435790353,203.696178742953,4789,0.713620889063846,0.990652367699682,,,,,,,,,,
218.204447189623,111.835701050031,1619,0.691936112086086,2.04282040696435,360.586956521739,926.445652173913,1012,0.584253283318236,2.28820399688865,384.032478632479,802.286324786325,1170,0.561037021056814,1.55583935382552,734.948623853211,209.80504587156,4360,0.530008845841716,6.13529173021223,,,,,,,,,,
217.245505269684,112.109733415995,1613,0.774910606343532,0.997328102187535,365.066610455312,927.329679595278,1186,0.522271189090769,4.5660490411624,383.814847161572,803.154585152838,1145,0.532260595529335,0.895119836215953,733.301736972705,204.154342431762,4030,0.766860786223801,5.88580374814916,,,,,,,,,,
216.84127942064,113.204586602293,1657,0.909236029209457,1.1670912717448,364.36935483871,929.571774193548,1240,0.866756091765459,2.34801055842514,385.193109700816,804.494106980961,1103,0.523675357589023,1.92195898892245,734.957767402377,207.20415959253,4712,0.804798590835657,3.47042093961452,,,,,,,,,,
215.92610250298,108.676996424315,1678,0.962171888619292,4.61915810622956,364.535655058043,925.917081260365,1206,0.731450420450751,3.65847457266172,386.738793103448,803.437931034483,1160,0.724564973757286,1.87206965978626,732.267659670503,200.736402617919,4431,0.937924297263498,7.0048954233243,,,,,,,,,,
216.459254579912,109.012002526848,1583,0.876824592007605,0.629666757794256,365.772314674735,926.810136157337,1322,0.386225419910008,1.52540947176939,387.4048,805.1896,1250,0.59892567658639,1.87400889832756,733.325259515571,202.742316303684,4913,0.862913839038354,2.26764352291671,,,,,,,,,,
219.275842375785,107.420902341519,1751,0.638016791447364,3.23492915094247,364.736363636364,925.43,1100,0.641861216717998,1.725679682529,386.892003297609,803.492992580379,1213,0.798330180039585,1.77240999610567,728.004528985507,197.525815217391,4416,0.481663140922357,7.45131243183678,,,,,,,,,,
216.218555417186,107.27397260274,1606,0.84225137509727,3.06081556049392,364.195412844037,927.810091743119,1090,0.707630694524799,2.44079177018116,390.476119402985,805.682835820896,1340,0.449928322760985,4.20015495843305,723.653906424894,201.322364002686,4467,0.390996852596113,5.77422716422253,,,,,,,,,,
216.108312342569,109.379722921914,1588,0.937811687551479,2.10863414138274,362.288908765653,927.95259391771,1118,0.497795396756936,1.91182234285957,386.22783933518,811.297783933518,1444,0.632595012469753,7.04098898180869,724.233179250128,201.721623009759,3894,0.412195292127489,0.703537320107301,,,,,,,,,,
215.400460299194,111.004027617952,1738,0.734831286318329,1.77184092425892,362.247154471545,928.346341463415,1230,0.438650303229118,0.395955238410611,383.391861341372,813.253956292389,1327,0.696021504905831,3.44519687085902,727.408650065531,204.002621231979,3815,0.64113714558477,3.90980406021131,,,,,,,,,,
216.005474452555,108.468369829684,1644,0.876515640002626,2.60683765220818,360.375087966221,930.254046446165,1421,0.48145586248202,2.67282085100449,385.118644067797,812.649011299435,1416,0.599976027372216,1.82968222070934,728.117368552205,205.467480687765,4013,0.661249897203717,1.62729687474635,,,,,,,,,,
215.676847892486,107.01466096518,1637,0.786187138594606,1.49039084763644,362.572055596196,931.739575713241,1367,0.70633687177522,2.65206786687249,385.286554004409,812.361498897869,1361,0.578343788534005,0.332952140505517,728.070775261324,201.621297909408,4592,0.617167821499031,3.84646498739894,,,,,,,,,,
216.52299202943,108.653586756591,1631,0.798764267770173,1.84446134419661,365.230601885424,933.403915881073,1379,0.865937970754025,3.13654213525495,385.14703493095,813.922014622258,1231,0.665017016917867,1.56674021392326,726.59758097581,202.017425174252,4878,0.530180389614278,1.52552227542728,,,,,,,,,,
216.88501529052,106.677675840979,1635,0.811460679134011,2.00880182895346,363.566520467836,933.921052631579,1368,0.802687867376231,1.74258353690296,384.570422535211,812.774647887324,1278,0.644076696621242,1.28410758091138,729.700086617583,204.009094846254,4618,0.76109458466413,3.68677221151646,,,,,,,,,,
217.020933014354,107.278708133971,1672,0.819697770885866,0.616208929562309,362.628997867804,936.594171997157,1407,0.907587488177701,2.83275762609519,386.665378670788,814.287480680062,1294,0.895038446763995,2.58408673785821,723.514616321559,193.237312220869,4926,0.379177996503642,12.4214066720136,,,,,,,,,,
216.241484184915,104.739659367397,1644,0.722414363704078,2.65599493914402,364.020717131474,934.054183266932,1255,0.772399963697052,2.89627782827206,388.373364126251,813.801385681293,1299,0.972903175635285,1.77581042453861,725.498660714286,193.462946428571,4480,0.38616100712454,1.9968332298907,,,,,,,,,,
216.02414001207,104.925165962583,1657,0.773541252208239,0.285746717089188,364.039781591264,933.844773790952,1282,0.759152425083774,0.210275491338215,388.71329746349,814.556495003843,1301,0.695408566210858,0.828097073275869,726.191104157354,193.193786320966,4474,0.444852648536695,0.742916607281113,1008.29418604651,658.361627906977,860,0.905148295236919,0,,,,,
